branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,ref-cycles,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-stores,branch-load-misses,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,label
6842403410,39337145,115619936,937467,124006166,22010424162,30311507205,14447492647,280536068,7928856223,5099844266,492993503,10585298,25005772,39420638,29549,7959975408,5389,5122565258,29461101,1
31103,4219,11911,50573,67829,779213,145794,1489000,6092,38926,24129,0,0,0,0,0,0,0,0,0,1
38102,4692,16723,45248,68600,659190,166766,2090375,5888,43889,28257,0,0,0,0,0,0,0,0,0,1
16744,2154,9282,29097,35442,308637,75989,1160250,3342,19879,12495,0,0,0,0,0,0,0,0,0,1
30585,4049,16889,51438,64749,561686,143313,2110875,5695,38064,23874,0,0,0,0,0,0,0,0,0,1
448117,13928,33008,70060,238225,3291439,2850685,4125750,46009,793151,416443,140100,0,0,0,0,0,0,0,0,1
16292,2137,9455,28017,35321,314429,72900,1181625,3242,19336,12099,0,0,0,0,0,0,0,0,0,1
16282,2205,9045,28297,33994,300759,72879,1130500,3129,19329,12100,0,0,0,0,0,0,0,0,0,1
16566,2210,7122,26149,35442,395756,74514,890125,3204,19624,12291,0,0,0,0,0,0,0,0,0,1
24944442,17916,27325590,17099129,111831254,4983910252,1010657510,3386806173,45196781,147115109,134118408,769124,37540013,399894,92558,6859,180707354,438,134107478,12764,1
16649,2226,7404,25755,36468,384918,74824,925000,3426,19893,12489,0,0,0,0,0,0,0,0,0,1
16867,2391,10027,26433,36883,333477,76967,1253625,3435,20549,12823,18062,0,0,0,0,0,0,0,0,1
11671533,186068,1431149,427958,1825260,58039497,85550308,179595322,1142859,24947781,14449643,4773571,145400,95794,222809,6724,30391661,0,0,0,1
17200,2362,9832,25864,38081,327027,80423,1229125,3509,21472,13407,23294,0,0,0,0,0,0,0,0,1
612687,15442,37383,92715,265917,4126838,3508352,4672250,48242,971974,533215,186849,0,0,0,0,0,0,0,0,1
54990,5624,14450,63592,93755,1135093,271714,1806375,9962,74210,44891,0,0,0,0,0,0,0,0,0,1
16637,2178,7854,26216,35570,392756,75195,981500,3350,19791,12421,0,0,0,0,0,0,0,0,0,1
24624878,381604,2153664,1065036,4541299,88601466,105082428,265356200,2128146,29230637,16684677,7233200,308660,144550,332874,25133,0,0,0,0,1
17735,2335,9586,25437,37342,318723,81228,1198000,3431,21590,13477,0,0,0,0,0,0,0,0,0,1
16267,2121,9667,28121,34295,321514,72820,1208500,3101,19317,12087,0,0,0,0,0,0,0,0,0,1
16285,2194,9408,27555,36816,312907,72871,1176500,3291,19327,12099,0,0,0,0,0,0,0,0,0,1
16302,2177,8144,21420,35155,310107,72922,1017750,3320,19337,12111,0,0,0,0,0,0,0,0,0,1
6807750822,34340548,115414527,827141,168299039,21932235095,30210732728,14426806999,283802730,7906120763,5084751172,487079258,14523230,25206575,34561141,29951,7930053604,5944,5100916913,21651662,1
16782,2258,9840,27015,35585,327111,75739,1229875,3263,20020,12562,0,0,0,0,0,0,0,0,0,1
30666,4096,17931,54768,68246,596324,143586,2241375,5760,38128,23922,0,0,0,0,0,0,0,0,0,1
61305,5480,22569,59499,92026,824583,265273,2820625,10332,71940,42676,39160,0,0,0,0,0,0,0,0,1
16287,2201,9283,24989,36765,308741,72866,1160750,3294,19327,12092,0,0,0,0,0,0,0,0,0,1
17674,2436,9122,29595,38712,363233,80736,1140125,3562,21438,13336,0,0,0,0,0,0,0,0,0,1
13121099,229144,1868390,1248918,3558828,64215420,77239044,234254229,1337453,22428809,11726623,5245316,220152,143064,245903,9237,0,0,0,0,1
56443,5865,25535,67618,98573,849187,273639,3191875,10695,74743,45389,51232,0,0,0,0,0,0,0,0,1
16302,2177,9319,27094,34988,315987,72953,1164500,3163,19347,12106,0,0,0,0,0,0,0,0,0,1
14282174532,63716706,232915149,59054979,323745502,44482741083,67953689380,29115101360,299982066,17882804301,11211525461,1627976364,25526384,73381151,63550379,989737,17934591983,74389,11242988961,37390758,1
17501,2310,9128,25406,35829,396991,79553,1141125,3572,21364,13212,0,0,0,0,0,0,0,0,0,1
16495,2091,8111,23876,35574,315318,73964,1014250,3365,19603,12272,0,0,0,0,0,0,0,0,0,1
6784795618,37022560,114742830,1421943,147627681,21769861740,30063017690,14336891954,296519048,7866391921,5087266289,487310317,11324171,23109506,37258083,37494,7912981985,11512,5118583642,26313873,1
16457,2191,9412,27898,35187,313047,73957,1176500,3290,19491,12202,0,0,0,0,0,0,0,0,0,1
10299245,199700,1511477,672483,2418023,50483884,63758552,189636250,1272804,17827329,10352453,4923786,177647,104926,194067,11801,0,0,0,0,1
33790,3026,10304,32325,49297,510183,169412,1288250,4860,46393,28178,0,0,0,0,0,0,0,0,0,1
17662,2314,10067,27821,35996,338535,80862,1258250,3533,21607,13378,0,0,0,0,0,0,0,0,0,1
14289,2109,9295,23979,33616,309077,77958,1161625,3382,20686,12929,21473,0,0,0,0,0,0,0,0,1
30851,4330,18084,53873,69580,601389,145197,2260375,6060,38240,24457,0,0,0,0,0,0,0,0,0,1
16412,2246,8168,25018,35435,318052,73786,1021000,3315,19451,12175,0,0,0,0,0,0,0,0,0,1
30540,4464,17534,48456,65766,583072,160931,2191625,5898,42239,27191,38497,0,0,0,0,0,0,0,0,1
17154,2312,9075,27854,37375,322896,78057,1133750,3471,20886,13032,24097,0,0,0,0,0,0,0,0,1
107634592,1748633,2728100,848470,12928512,444741484,533499929,349765362,4003677,227597791,61124284,1197524,2195492,133804,1463774,11527,464461400,74,78324098,362,1
30353,3082,10671,31967,50227,515690,147753,1333250,4766,40518,24541,0,0,0,0,0,0,0,0,0,1
17357,2200,8414,24089,36299,395883,79114,1051750,3403,21090,13029,0,0,0,0,0,0,0,0,0,1
16879,2170,9545,26331,35456,326230,76300,1193000,3381,20265,12742,0,0,0,0,0,0,0,0,0,1
16983,2233,9558,24099,36478,317853,77120,1194500,3301,20349,12811,0,0,0,0,0,0,0,0,0,1
16299,2088,6776,27597,33442,379962,72930,847000,3161,19342,12104,0,0,0,0,0,0,0,0,0,1
15365936,319813,1819107,900992,3175683,74071590,92158147,227579682,1867796,26063496,14913437,7175360,216941,124514,269382,12030,0,0,0,0,1
32839,3044,10262,32314,49887,523264,163443,1283000,4885,44911,27143,0,0,0,0,0,0,0,0,0,1
7144708546,35505517,117173803,2854110,117034481,21758905568,30780970885,14651620197,289705683,8052080055,5289417238,440440016,10366979,18572034,35721082,55811,8245031762,13657,5417013861,24351967,1
18125,2382,9850,22845,38012,327600,83130,1231250,3641,22397,13608,0,0,0,0,0,0,0,0,0,1
16417,2185,7668,26748,35080,373457,73800,958375,3212,19450,12187,0,0,0,0,0,0,0,0,0,1
16295,2186,8506,26157,36577,332560,72903,1063250,3272,19330,12111,0,0,0,0,0,0,0,0,0,1
