branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,ref-cycles,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-stores,branch-load-misses,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,label
3274,455,1803,5356,7224,60014,14726,225625,653,3882,2432,0,0,0,0,0,0,0,0,0,0
3262,388,1671,4361,6306,55581,14592,208750,630,3870,2424,0,0,0,0,0,0,0,0,0,0
3267,453,1810,5330,7237,60196,14611,226250,639,3874,2424,0,0,0,0,0,0,0,0,0,0
3271,452,1742,4372,7151,57920,14626,217625,626,3877,2429,0,0,0,0,0,0,0,0,0,0
3309,388,1319,2344,6720,56618,14944,164875,672,3914,2451,0,0,0,0,0,0,0,0,0,0
3252,441,1700,4131,7188,56545,14558,212500,641,3862,2416,0,0,0,0,0,0,0,0,0,0
10772,1047,2390,6406,17147,159625,53209,298875,1815,14455,9086,0,0,0,0,0,0,0,0,0,0
3273,455,1917,5343,7320,63741,14639,239625,679,3880,2428,0,0,0,0,0,0,0,0,0,0
3287,451,867,5398,7261,88282,14774,108375,671,3893,2437,0,0,0,0,0,0,0,0,0,0
3270,390,1779,3603,8092,66535,14614,222375,646,3872,2429,0,0,0,0,0,0,0,0,0,0
3709,558,2506,6583,8724,83337,19406,313250,893,5318,3322,6105,0,0,0,0,0,0,0,0,0
3252,442,1660,2999,7011,55200,14556,207500,668,3862,2416,0,0,0,0,0,0,0,0,0,0
3254,396,1786,5244,6452,59400,14567,223250,619,3864,2416,0,0,0,0,0,0,0,0,0,0
3259,443,1796,5143,7010,59739,14583,224500,638,3868,2422,0,0,0,0,0,0,0,0,0,0
3261,372,1429,2397,6370,53456,14590,178500,640,3869,2421,0,0,0,0,0,0,0,0,0,0
3283,468,1889,5565,7420,62829,14762,236250,635,3890,2435,0,0,0,0,0,0,0,0,0,0
3286,386,1787,5248,6361,59414,14769,223500,656,3892,2440,0,0,0,0,0,0,0,0,0,0
3281,457,1953,5532,7259,64908,14752,244125,632,3889,2435,0,0,0,0,0,0,0,0,0,0
3252,439,1903,5263,7002,63250,14558,237750,628,3862,2416,0,0,0,0,0,0,0,0,0,0
3269,444,1486,1961,7023,55597,14619,185750,647,3875,2429,0,0,0,0,0,0,0,0,0,0
3262,450,1831,5544,7186,60869,14599,228750,640,3871,2422,0,0,0,0,0,0,0,0,0,0
3457,436,1956,5557,7327,65038,15867,244375,630,4182,2650,0,0,0,0,0,0,0,0,0,0
3264,442,1232,5468,7042,85901,14601,154000,623,3872,2424,0,0,0,0,0,0,0,0,0,0
3287,472,1775,4258,7392,59034,14772,221875,661,3893,2437,0,0,0,0,0,0,0,0,0,0
3311,466,1479,1972,7567,55312,14950,184750,676,3917,2451,0,0,0,0,0,0,0,0,0,0
3264,386,1718,4141,6630,57167,14609,214750,664,3874,2422,0,0,0,0,0,0,0,0,0,0
3288,459,1827,5026,7373,60760,14776,228375,650,3894,2440,0,0,0,0,0,0,0,0,0,0
3252,446,1777,5283,7194,59095,14556,222000,647,3862,2416,0,0,0,0,0,0,0,0,0,0
3288,449,1882,5464,7179,62596,14781,235375,641,3895,2438,0,0,0,0,0,0,0,0,0,0
3257,406,1216,2277,6601,56950,14581,151875,666,3867,2419,0,0,0,0,0,0,0,0,0,0
3254,377,1747,5505,6642,58100,14565,218375,627,3864,2416,0,0,0,0,0,0,0,0,0,0
3481,452,1837,4735,7324,61102,16056,229750,636,4209,2667,0,0,0,0,0,0,0,0,0,0
3259,442,2001,5201,7111,66556,14588,250125,650,3869,2419,0,0,0,0,0,0,0,0,0,0
3252,452,2116,6556,7183,70399,14558,264500,644,3862,2416,0,0,0,0,0,0,0,0,0,0
3288,390,1431,2163,6696,53504,14764,178750,681,3889,2439,0,0,0,0,0,0,0,0,0,0
3302,452,1835,4510,7523,61053,14911,229500,653,3908,2448,0,0,0,0,0,0,0,0,0,0
4381,606,2206,5109,8917,73347,20429,275750,916,5602,3389,0,0,0,0,0,0,0,0,0,0
3250,392,1721,4504,6742,57270,14551,215375,659,3860,2416,0,0,0,0,0,0,0,0,0,0
3252,449,1830,4224,7190,60859,14556,228750,657,3862,2416,0,0,0,0,0,0,0,0,0,0
3259,361,1396,2106,6197,52256,14586,174750,649,3869,2419,0,0,0,0,0,0,0,0,0,0
3297,403,1759,4394,6531,58469,14813,219750,646,3902,2443,0,0,0,0,0,0,0,0,0,0
3280,377,1847,4258,6706,61413,14742,230875,694,3889,2434,0,0,0,0,0,0,0,0,0,0
3263,451,2086,5445,7405,69345,14589,260500,678,3866,2426,0,0,0,0,0,0,0,0,0,0
3285,455,1757,4490,6998,58413,14769,219625,659,3892,2435,0,0,0,0,0,0,0,0,0,0
3276,388,1490,2620,6248,55751,14731,186250,650,3884,2432,0,0,0,0,0,0,0,0,0,0
4384,488,2343,3052,7056,77895,20924,292875,821,5731,3408,0,0,0,0,0,0,0,0,0,0
3276,449,1972,5200,6987,65587,14733,246500,648,3884,2432,0,0,0,0,0,0,0,0,0,0
3241,346,1583,3561,6208,52663,14502,198000,601,3844,2415,0,0,0,0,0,0,0,0,0,0
3271,447,1776,4170,7141,59100,14635,222250,677,3877,2434,0,0,0,0,0,0,0,0,0,0
3247,380,1581,2101,6852,59176,14527,197875,644,3851,2415,0,0,0,0,0,0,0,0,0,0
4039,535,1953,3728,8294,64948,18859,244125,873,5226,3089,0,0,0,0,0,0,0,0,0,0
3283,473,1766,4249,7069,58737,14756,220750,650,3890,2435,0,0,0,0,0,0,0,0,0,0
3623,514,1995,4142,8622,66343,16539,249500,762,4438,2809,0,0,0,0,0,0,0,0,0,0
3269,378,1055,4121,6126,67601,14615,131875,670,3875,2429,0,0,0,0,0,0,0,0,0,0
3283,337,1331,1983,5796,49814,14765,166375,631,3891,2435,0,0,0,0,0,0,0,0,0,0
3254,443,1772,4726,7154,58975,14569,221750,617,3864,2416,0,0,0,0,0,0,0,0,0,0
3288,455,1948,4387,7295,64789,14778,243500,645,3894,2440,0,0,0,0,0,0,0,0,0,0
3257,441,1746,4228,7140,58062,14579,218125,647,3867,2419,0,0,0,0,0,0,0,0,0,0
3262,453,1925,4066,6884,64025,14592,240625,657,3870,2424,0,0,0,0,0,0,0,0,0,0
3292,453,1718,2291,7414,64251,14798,214750,679,3898,2445,0,0,0,0,0,0,0,0,0,0
3981,528,2195,6325,8066,72990,18477,274250,774,4992,3088,0,0,0,0,0,0,0,0,0,0
3285,463,1745,3924,7317,58037,14768,218250,652,3893,2442,0,0,0,0,0,0,0,0,0,0
3278,439,1805,5346,7137,60042,14738,225750,649,3886,2432,0,0,0,0,0,0,0,0,0,0
3638,389,2046,5437,6805,68032,16687,255750,695,4446,2822,0,0,0,0,0,0,0,0,0,0
2654,657,2103,2248,10040,78638,22929,262750,1020,6296,3896,6268,0,0,0,0,0,0,0,0,0
3260,445,1861,5331,7371,61864,14578,232500,638,3864,2421,0,0,0,0,0,0,0,0,0,0
3252,351,1736,5402,6178,57725,14558,217125,625,3862,2416,0,0,0,0,0,0,0,0,0,0
3252,446,1823,4718,7079,60619,14556,227875,642,3862,2416,0,0,0,0,0,0,0,0,0,0
3265,463,1796,4702,7344,59726,14607,224375,667,3872,2427,0,0,0,0,0,0,0,0,0,0
3259,450,1607,2650,7212,60129,14584,200875,644,3866,2424,0,0,0,0,0,0,0,0,0,0
3276,451,1817,5346,7019,60423,14733,227000,641,3884,2432,0,0,0,0,0,0,0,0,0,0
3286,393,1696,4285,6462,56431,14767,212000,647,3892,2440,0,0,0,0,0,0,0,0,0,0
3287,464,1890,4319,7271,62861,14771,236250,638,3892,2440,0,0,0,0,0,0,0,0,0,0
3290,452,1865,5362,7164,62044,14786,233125,654,3897,2438,0,0,0,0,0,0,0,0,0,0
3265,447,1483,2067,7425,55469,14593,185375,681,3867,2426,0,0,0,0,0,0,0,0,0,0
3273,462,1861,5497,7212,61859,14634,232500,658,3878,2430,0,0,0,0,0,0,0,0,0,0
3264,381,1721,4448,6503,57222,14608,215250,630,3873,2422,0,0,0,0,0,0,0,0,0,0
3257,448,1799,5372,7019,59773,14576,224625,657,3866,2419,0,0,0,0,0,0,0,0,0,0
3248,448,1729,3763,7594,57499,14528,216000,677,3853,2415,0,0,0,0,0,0,0,0,0,0
4304,460,1787,2095,7248,66915,20514,223500,927,5685,3355,0,0,0,0,0,0,0,0,0,0
920616,23442,34316,64479,265957,6012387,4957634,4289625,69423,1357658,717972,104500,0,0,0,0,0,0,0,0,0
3286,446,1011,5239,7011,79502,14764,126500,648,3892,2437,0,0,0,0,0,0,0,0,0,0
3260,453,2068,5552,7396,68788,14586,258625,661,3868,2421,0,0,0,0,0,0,0,0,0,0
3285,404,1833,5248,6437,60949,14770,229000,656,3892,2439,0,0,0,0,0,0,0,0,0,0
3253,455,1457,2206,7566,54502,14553,182125,675,3858,2418,0,0,0,0,0,0,0,0,0,0
3248,446,2095,5577,7501,69655,14544,261750,642,3858,2416,0,0,0,0,0,0,0,0,0,0
3277,387,1794,4519,6888,59687,14658,224125,670,3884,2434,0,0,0,0,0,0,0,0,0,0
3274,452,1821,5174,7075,60610,14724,227875,651,3882,2432,0,0,0,0,0,0,0,0,0,0
3245,361,1648,4562,6355,54824,14530,206000,654,3853,2416,0,0,0,0,0,0,0,0,0,0
3890,538,1723,2066,8061,64444,17978,215250,770,4885,3035,0,0,0,0,0,0,0,0,0,0
3273,455,1890,5525,7373,62839,14637,236250,679,3879,2429,0,0,0,0,0,0,0,0,0,0
3248,443,1762,4249,7296,58576,14528,220250,653,3853,2415,0,0,0,0,0,0,0,0,0,0
3286,464,1826,5447,7136,60683,14768,228125,660,3892,2437,0,0,0,0,0,0,0,0,0,0
3637,492,2566,5944,8016,85326,16682,320750,724,4454,2816,0,0,0,0,0,0,0,0,0,0
3260,451,1464,2010,7345,54791,14587,183125,682,3868,2419,0,0,0,0,0,0,0,0,0,0
3265,462,2050,4448,7637,68186,14608,256375,676,3873,2427,0,0,0,0,0,0,0,0,0,0
3252,443,1743,4679,7132,57953,14554,217875,681,3862,2416,0,0,0,0,0,0,0,0,0,0
3255,464,1746,4186,7276,58059,14569,218250,668,3864,2419,0,0,0,0,0,0,0,0,0,0
3262,450,2087,5486,7249,69400,14592,260750,651,3870,2424,0,0,0,0,0,0,0,0,0,0
3260,382,1435,2026,6493,53681,14586,179500,649,3868,2421,0,0,0,0,0,0,0,0,0,0
3268,451,1985,6613,7373,66004,14617,248125,654,3874,2426,0,0,0,0,0,0,0,0,0,0
3301,405,2030,5492,6638,67545,14823,253875,658,3905,2448,0,0,0,0,0,0,0,0,0,0
3271,460,1870,5623,7511,62178,14626,233625,682,3877,2429,0,0,0,0,0,0,0,0,0,0
3252,449,2096,5210,6897,69716,14558,262000,655,3862,2416,0,0,0,0,0,0,0,0,0,0
3265,310,1320,2165,5604,49360,14610,165000,650,3872,2429,0,0,0,0,0,0,0,0,0,0
3285,471,2032,5221,7149,67544,14764,254000,626,3891,2440,0,0,0,0,0,0,0,0,0,0
3299,409,1731,4408,6549,57559,14824,216375,643,3905,2444,0,0,0,0,0,0,0,0,0,0
3304,444,1885,5536,7417,62674,14920,235500,650,3910,2448,0,0,0,0,0,0,0,0,0,0
3262,454,1870,4427,7135,62200,14592,233750,653,3870,2424,0,0,0,0,0,0,0,0,0,0
3251,392,1381,2133,6320,51680,14553,172625,603,3860,2416,0,0,0,0,0,0,0,0,0,0
3252,395,1654,4078,6506,54967,14560,206750,612,3862,2416,0,0,0,0,0,0,0,0,0,0
3252,355,1726,5394,6409,57382,14556,215625,661,3862,2416,0,0,0,0,0,0,0,0,0,0
3266,455,1889,5594,7269,62791,14615,236000,635,3875,2425,0,0,0,0,0,0,0,0,0,0
3260,448,1780,4852,7234,59200,14576,222625,672,3864,2421,0,0,0,0,0,0,0,0,0,0
3277,456,1450,2124,7192,54255,14733,181375,650,3884,2432,0,0,0,0,0,0,0,0,0,0
