L1-dcache-stores,LLC-loads,dTLB-stores,L1-dcache-load-misses,cache-references,dTLB-store-misses,L1-dcache-loads,L1-icache-load-misses,LLC-stores,branch-instructions,branch-loads,branch-load-misses,branch-misses,cache-misses,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,instructions,Class
6390651,342719,7896304,657377,1066950,16209,13073684,491146,75775,5634265,5634265,246770,228925,271067,56364935,134950,9970428,16589,38385254,0
13760554,697454,15859022,1493122,2523119,30462,27992807,1326146,335189,60319944,60319944,891235,581712,347176,130113794,269284,79508482,163460,288129701,0
276091031,14049462,306387477,38280108,55678272,7868571,1545749764,27132097,4193078,880099585,879366957,14957276,15335791,7516341,7756328354,88659287,646686839,1896489,2389519034,0
8722236,612112,6896770,852710,965929,14307,8763883,391233,69323,5232426,5232426,236938,210939,239761,51076172,131155,12188480,60840,40220500,0
14491720,1208707,13884613,2174040,1447056,20438,12043318,568532,81956,5885990,5885990,269393,245697,279894,59261136,159282,12845828,56576,41954598,0
10617798,866481,8553548,1505233,1027126,14266,11944426,401159,69154,5509744,5509744,223880,204795,245757,51701414,121843,13098296,56215,49310976,0
18332182,1343336,20497043,2880273,2159734,38194,21242926,841315,172786,15725886,15725886,590309,887463,403884,244447306,344734,26970107,110910,97046446,0
161634793,4166148,145117190,9668476,12676367,341274,165357721,7946959,1195412,105008836,105008836,3429559,4176351,979464,884295729,1478574,222607576,517725,832822708,0
5192158,516407,7252624,893913,1084601,19913,10090516,401880,85392,6272674,6272674,273264,309302,293836,73569066,191310,7959768,20957,24605140,0
13295064,1213935,12031170,1944424,1122846,19788,10687070,572270,81707,5876974,5876974,266757,331266,381353,83457030,213870,8766981,28441,27142285,0
7401676,844071,10291033,1330034,927095,15473,9265759,371742,73294,5570332,5570332,237711,297406,285425,72678973,180941,9058019,26442,34773691,0
17005314,1324086,22457620,2692945,2168427,33373,22915782,892082,138736,13331918,13331918,547168,942699,547600,271289779,409260,20458222,64967,72589174,0
333038461,6887157,360743929,16700541,25595886,2395977,1594840339,3508363,11153812,692376387,692287691,5619743,6541393,8640456,10206787069,2970937,506248224,995655,1594993706,0
5130331,258273,4378252,732114,771912,803384,300943991,5898725,408845,41284259,41280306,4080743,4094306,7435,3467422056,13044949,8475430,20849,26980838,0
10090701,976949,9421515,1476617,376905,8090,2057848,132984,42249,1997904,1997904,150361,136053,75768,26363915,72971,9293924,21983,29605507,0
7242519,674020,7881980,1241885,506470,8082,3828813,153679,22356,743675,743675,76693,75258,64409,19824628,63686,9536044,28973,37201991,0
27239991,1715062,26510892,3495502,320022,5683,945742,91198,20491,629452,629452,70747,68994,54709,15052933,56548,22018934,54757,81700427,0
108595761,5624289,106983290,12377575,12252966,209628,230554583,7820821,605818,124081441,124037631,3827828,5850597,1039151,1024734745,1715707,240749749,882803,878792380,0
7424540,528834,5015054,966781,1633983,25388,6985338,517513,95189,6267721,6267721,380078,386038,351962,83900944,231701,10196309,36449,31749402,0
13017812,1250206,10249925,1909490,1898492,31869,9349567,607348,103217,6853660,6853660,396512,422180,355554,96255920,258952,11262406,51357,34498929,0
5768870,498535,8551301,980903,1316182,19870,8090409,519219,92938,6576601,6576601,369170,369081,317558,80727774,214247,11305683,39711,41969379,0
15762323,1173291,22023139,2278856,2944525,41317,26604163,1280593,224874,18137315,18137315,827145,1003689,578815,279200480,465339,22856991,75649,79610058,0
219855340,4452860,200812245,11869414,5070729,97088,58522975,2208979,526531,92525232,92391685,3640446,13081108,1079143,4483991979,2946436,251348778,519871,821616311,0
4566886,342834,4643400,636681,1182245,19934,9305599,468419,79876,5403658,5403658,265077,215412,251488,53567199,132307,8572056,17692,27322644,0
92894033,1604566,90223463,4341179,1160524,16977,9322787,484742,82491,6087689,6087689,301273,2870199,462293,650806266,1032900,144129702,344360,401488404,0
98661439,1371071,97712511,3450461,825854,14516,9442483,396879,77201,5701971,5701971,251456,1587002,345336,418193428,653214,145010052,380157,410399641,0
142359160,2108960,132810163,6710246,2324354,31530,17685499,961060,192560,16856151,16856151,688786,2159608,541862,610448892,846755,151610203,392047,430128425,0
202200943,3203764,214694449,10213260,8472261,234297,267962540,6025955,631119,197429302,197126651,4582598,5585012,1122382,955160514,1245007,351607427,731695,1132703154,0
26685569,665503,30704779,1468764,2452338,49742,37562159,1172493,168519,28082376,28082376,627028,571952,444315,142288342,225819,37524627,98085,121319931,0
26390821,729776,36842508,1617899,2060435,49632,48779766,1506881,182754,28655769,28655769,654832,652895,429534,154281910,259333,37537653,97041,121492969,0
30016411,592055,36430682,1176907,1667928,37550,42162534,1199213,152389,24492108,24492108,545683,607381,384872,144952398,202647,43702276,112284,148109202,0
38305758,1074197,32338168,2607031,2885626,43470,63510275,2107271,183729,29939003,29939003,771215,799095,457822,174379587,286991,43671879,141132,147762337,0
977141163,19163242,1022365884,56574922,46281770,2433298,1497223038,3579675,11297348,718262991,718193371,6167445,20301610,4630414,4418203274,8288765,1337366676,2654509,4323844903,0
53873677,1167638,59344812,3158192,1640912,840031,292422146,7319625,399934,40373507,40372955,4040759,955996,478793,236981417,410986,97586389,316459,281381509,0
28742173,1112968,28067556,1818790,551442,22186,1595672,134587,27252,1197372,1197372,97113,751045,409846,177508018,394279,38691608,50431,113452480,0
37856274,1132176,31748858,2329217,342220,5850,1042930,100879,21301,719319,719319,73570,985083,470382,220889858,431419,38162204,71677,119049079,0
39860343,1567795,36048291,2738024,527830,9857,2044210,172181,19265,615312,615312,66097,1591960,815244,426656860,666505,44373717,95939,142365762,0
1366490138,8425682,1354713520,20155125,15489147,171982,193141997,8279342,781533,113410503,113055501,3468861,4712109,1077084,933811814,1498225,1608753149,1114221,4976121827,0
27868208,897379,27818200,1867165,1369831,26663,15454647,674112,261345,37945461,37945461,1691418,1716714,665500,283768599,536050,21270675,77158,74869827,0
31681155,878880,34670417,2316336,1781445,30537,19724762,893677,106713,9462547,9462547,457939,457765,391932,97704884,239669,23759396,85182,82578393,0
15414360,871419,19348298,1472229,2213169,27412,28257227,1162283,97816,9636886,9636886,467559,419339,384111,95388833,197968,23981196,71736,89014177,0
12977591,765156,16390007,1838133,2707085,28525,18032748,1111000,118427,13397779,13397779,545584,838441,567009,264921527,391201,20892842,52351,75188997,0
186873011,5613768,194307810,11524881,17039062,279604,389394550,11258081,1034154,215561649,215451424,5584795,5143215,1037158,980201942,1634049,318089222,766393,1064719583,0
6682761,372478,3524692,666505,1021431,16830,8228091,373432,76314,5362516,5362516,259243,278499,326790,71879773,163364,7265113,25898,22873011,0
4613030,413343,5311057,749748,1125439,21995,10499687,424711,84012,5985650,5985650,281082,289315,316433,71812485,186901,8124304,26849,25490078,0
