branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,ref-cycles,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-stores,branch-load-misses,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,label
3276,319,1588,4064,7148,60444,14749,227125,617,4438,2806,4202,311,30,403,70,4520,6,2870,132,0
3493,490,1849,4553,5986,87921,14573,140500,757,4426,2790,4849,299,47,443,64,3864,4,2419,144,0
3288,356,1864,5799,6430,54890,14558,206250,604,3851,2415,4539,321,36,445,70,3867,6,2428,101,0
3248,435,1263,4192,7252,114797,14805,172250,602,3862,2416,4653,314,33,467,75,3886,6,2431,103,0
3260,451,1897,5315,369560,10436546,12763985,8903375,105018,3649227,1804334,218733,319,43,452,75,3917,5,2458,96,0
3259,454,1692,5270,7168,59493,14612,223500,602,3877,2431,4516,325,89,460,72,3877,6,2429,153,0
3289,467,1869,5433,7103,58085,14785,218375,571,3898,2448,3872,288,28,393,66,3865,7,2421,94,0
3295,466,1861,4680,7272,62180,14740,233625,577,4185,2651,4345,326,28,433,72,3908,4,2448,108,0
3323,463,1978,6629,7122,59916,14622,225125,591,3871,2424,4402,315,35,382,72,3874,5,2425,100,0
3276,453,1907,3408,6160,71282,14573,267875,584,3860,2416,4395,332,36,459,70,1325131,489,702847,1415,0
3515,457,1875,4970,7626,67379,16721,253375,550,3861,2421,3891,311,41,461,69,3879,5,2425,154,0
3264,361,1990,5303,6024,56244,14558,211375,569,3884,2433,4460,42088,20143,46492,2874,3919,5,2456,107,0
3257,453,1850,5490,7096,60122,14549,226000,606,3859,2419,4552,348,38,477,76,3881,8,2430,98,0
3252,454,1803,5039,6245,76073,14757,136625,575,4196,2660,3967,329,38,447,73,3908,5,2448,107,0
3265,413,1821,5414,7067,62266,14578,233875,579,3870,2420,3851,309,42,397,74,3866,5,2419,166,0
3266,438,1110,5848,7022,63039,14747,237000,620,3878,2427,3999,745,408,1229,167,3864,3,2416,137,0
3261,461,1853,5448,7099,62479,14588,234875,69903,1305369,683797,120858,314,38,459,64,3872,6,2422,95,0
3286,405,1747,4547,7316,61563,14576,231375,2583,22522,13407,14084,304,55,441,76,124083,14,64296,153,0
3274,409,1710,4074,6370,56740,14776,213375,635,3899,2447,4455,313,28,447,71,4935,5,3057,132,0
3290,474,1843,5088,7239,62624,14733,235375,638,3894,2440,4440,332,54,469,79,3870,4,2424,108,0
3246,450,1678,3561,7002,62726,14588,235625,688,4992,3094,5466,336,42,447,66,3912,4,2451,118,0
3271,462,1775,3952,8527,70580,19235,265375,2862,37255,22670,15959,305,31,445,70,3870,5,2424,99,0
3248,381,1654,3799,6204,54023,14549,203000,604,3866,2421,4422,338,32,458,83,3862,4,2416,72,0
3252,394,1574,3141,6520,75341,16578,134875,73542,1028213,575937,222029,305,45,475,74,3864,6,2416,90,0
3297,475,1779,4149,7422,74514,14556,280250,735,4940,3060,5466,294,33,322,64,3899,3,2450,157,0
3248,451,1356,4037,5966,58231,14776,218875,604,3890,2435,4056,309,35,447,73,3862,4,2416,104,0
3270,460,1864,5491,7317,66481,14808,250000,569,3870,2424,3470,451,73,569,92,3862,3,2416,135,0
3287,397,1775,4411,6818,55710,14542,209375,568,3867,2419,4417,298,31,449,78,3860,5,2416,104,0
3694,511,2042,3842,6224,68267,15871,100875,587,3860,2416,4418,298,32,297,77,4229,9,2647,111,0
3260,436,1952,5204,7223,67646,14586,254250,632,3898,2438,4705,433,111,542,81,3886,5,2432,105,0
3259,443,1885,5395,6981,55464,14521,208500,94822,3556594,1750723,175224,313,36,468,73,3862,4,2416,101,0
3274,420,1791,5269,7123,68575,14554,257750,584,3864,2421,4501,325,44,460,75,3886,3,2432,171,0
3267,318,1644,3548,6957,60279,14606,226500,595,3893,2440,4643,297,45,448,68,3870,9,2424,107,0
3290,459,1407,5271,219121,5164239,4558387,3967750,568,3862,2423,3790,343,49,464,70,1156439,727,657611,2036,0
3325,461,1025,5364,7104,59181,14558,222500,558,3863,2424,3687,309,38,454,74,4406,4,2777,146,0
3261,451,2043,5793,7205,61517,14592,231125,563,3912,2448,4418,294,34,319,65,3877,4,2432,106,0
3272,468,1964,6709,6228,54454,14558,204625,606,3875,2431,4390,322,35,451,72,3901,6,2440,101,0
3252,472,1777,4991,6077,55403,14577,208250,71474,1390969,747042,132230,20971,12405,24692,1495,3886,7,2432,104,0
3276,471,1829,5274,6668,63079,14584,237125,575,3862,2416,4585,321,26,445,68,3901,7,2445,104,0
3250,351,1659,4347,7272,63004,14745,236875,593,3870,2424,4303,405,63,606,107,3862,6,2416,93,0
11066,1084,2508,4603,6034,54563,14558,205125,608,3866,2419,4501,313,42,465,70,3884,4,2432,103,0
3250,426,1719,4190,260167,5704701,4581907,4334125,567,3899,2443,3835,320,34,450,76,3894,5,2440,105,0
3263,459,1744,4292,7212,61782,14587,232125,604,3873,2422,4401,323,36,454,79,3870,6,2422,110,0
3274,456,1927,5523,7207,76265,14567,149375,578,3857,2418,3916,312,29,454,75,3891,5,2437,101,0
3254,349,1671,4917,5278,77878,14618,81625,673,4859,3013,5259,315,39,376,75,3862,7,2416,106,0
3262,447,1717,4208,7326,63297,14808,238000,637,3866,2423,4501,299,26,389,73,3867,4,2424,107,0
3261,464,1735,3978,7024,86574,14569,147250,874,5383,3291,4721,326,37,459,72,3882,6,2432,136,0
3254,344,1696,5102,6934,60998,14612,229250,573,3870,2424,4438,324,43,468,69,3869,4,2419,103,0
3247,350,1610,3603,7176,61827,14931,232375,600,3862,2416,4533,306,51,465,74,3860,8,2416,106,0
3285,463,1960,5569,6959,56741,14622,213250,612,3884,2432,4419,315,40,449,68,3886,5,2432,108,0
3316,462,2152,5638,7276,57662,14558,216750,576,3862,2416,4512,321,47,455,72,3861,4,2420,92,0
3252,454,1981,4353,7269,61723,14570,231875,551,3862,2416,4382,313,34,462,75,3925,6,2457,113,0
4232067,41366,83012,94084,7176,102991,14740,177750,555,3871,2419,3787,332,35,433,74,3919,4,2456,140,0
3318,469,1801,4620,6946,57967,14583,217750,569,3866,2419,4447,319,40,461,68,3866,6,2419,110,0
3273,460,1830,4325,7325,60217,14590,226250,541,3855,2416,3743,330,37,363,71,3860,4,2416,113,0
3898,444,2214,4436,7116,60552,14763,227500,607,3862,2416,4383,391,61,614,72,3868,4,2421,111,0
3259,448,1903,4916,7283,61980,14799,233000,567,3904,2448,3953,303,40,387,69,3860,8,2416,99,0
3276,386,1756,4318,7038,61244,14579,230125,615,3860,2420,4481,327,41,452,75,3860,4,2416,118,0
3267,443,1697,3787,6103,54770,14551,205875,579,3884,2432,4465,317,46,443,75,3864,5,2416,107,0
3253,468,1763,4441,6330,66498,14920,192250,569,3908,2448,4484,299,33,456,78,1404723,509,748226,1360,0
3295,476,1784,4111,7586,61774,14574,232250,570,3886,2432,3771,310,30,442,66,3882,6,2430,104,0
3264,446,1316,5429,7223,61154,14766,229875,588,3864,2416,3924,297,30,447,66,4210,5,2668,208,0
3284,464,1711,3810,7167,58095,14606,218375,573,3890,2435,4427,322,29,403,75,3865,4,2419,135,0
3294,397,1673,4133,7254,64361,14528,241875,591,3874,2422,4354,304,43,455,68,4189,4,2652,121,0
3635,498,1999,3979,7084,62259,14738,233875,599,3868,2419,4358,303,34,453,80,4407,8,2783,140,0
3254,454,1869,4706,7091,64070,14701,240875,599,3870,2425,4431,316,31,464,64,3862,5,2416,103,0
3321,374,1228,4819,7435,83539,14780,150750,574,3899,2445,4069,334,39,442,89,3866,6,2421,131,0
3261,371,1606,4033,5859,50790,14558,190875,605,3876,2430,3909,331,44,442,79,3926,4,2457,147,0
3950,552,1916,5279,7239,61646,14735,231625,588,4205,2659,4533,302,43,449,69,3868,5,2419,101,0
3280,465,2209,4619,7087,55825,14605,209875,1018,8952,5178,5305,305,51,460,68,3886,6,2432,96,0
3315,450,1870,5224,7229,60686,14726,228000,594,3867,2419,4382,327,34,458,69,3888,5,2432,102,0
3327,469,1936,5670,7128,58491,14537,219750,571,3890,2437,4394,334,38,441,73,3860,6,2416,106,0
3252,449,1740,4569,7369,61279,14535,217000,592,3862,2416,4396,337,47,456,81,4375,5,2764,175,0
3276,389,1746,4248,6306,56576,14771,212750,796,5634,3326,4303,317,43,473,73,3862,5,2416,101,0
3319,474,2066,5333,7002,71655,14798,269125,613,3890,2435,4598,323,48,463,75,3885,6,2438,96,0
3304,463,1380,5527,7241,63949,14625,240250,593,3884,2432,4544,283,30,378,68,3877,5,2431,84,0
