branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,ref-cycles,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-stores,branch-load-misses,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,label
16397,2237,9479,27669,34850,302928,74758,1138625,2930,19345,12106,21452,1527,173,2172,339,19479,29,12197,495,0
17115,2135,9449,25741,33115,377212,73656,957375,2890,19648,12331,21937,1506,167,2212,340,20628,27,12914,550,0
963145,25997,44415,89416,35840,378372,72983,973625,2920,19336,12094,21823,1519,151,2193,367,19310,28,12094,586,0
17361,2369,9491,26228,36522,302634,73769,1137625,3006,19457,12180,22450,1555,142,2215,360,19654,26,12334,521,0
16289,2263,9136,27302,34543,373346,73820,1022250,2975,19447,12183,22123,1576,193,2216,346,19315,31,12097,618,0
16769,2315,9845,26369,35713,345244,72800,1043500,3141,20561,12842,23436,1536,169,2240,358,6105827,912,1910354,3180,0
16446,2254,9586,24992,32918,461303,75308,1188375,2931,19457,12182,21937,1633,187,2210,333,19476,31,12213,542,0
16300,2159,8540,24255,36436,299765,72798,1126625,2976,19445,12174,21560,1534,142,2183,366,19353,25,12125,530,0
16455,2367,9362,24697,34895,325354,75018,1079125,2937,19322,12091,21579,1480,173,2073,326,20059,26,12587,699,0
17293,2351,9371,24672,34759,322784,72889,1086375,3001,19659,12333,22298,1532,152,2154,345,19330,28,12102,580,0
16358,2194,7814,23197,35164,378140,72843,899125,3183,20977,12957,22422,1601,171,2328,360,19547,31,12246,550,0
16285,2264,9733,26226,32789,315299,73731,1185125,3168,21543,13462,23198,1540,230,2153,353,19376,24,12121,566,0
16965,2378,9017,25272,37332,341899,81143,1285000,2882,19330,12097,22386,1688,254,2395,372,19349,24,12108,527,0
16487,2251,8011,24600,35279,368585,72860,917750,2944,19355,12115,21801,1602,244,2277,340,19597,27,12267,518,0
17808,2428,8901,25820,38119,329948,80925,1240125,2879,19570,12267,20876,1732,217,2315,376,19349,28,12108,604,0
16890,2263,8782,27019,39547,383256,88936,1094625,2895,19325,12101,21996,1749,318,2397,378,20437,31,12752,672,0
17005,2321,9003,25338,35057,350649,74800,910250,2918,19454,12185,22392,1816,228,2598,402,19297,27,12086,520,0
16287,2219,9016,27883,33891,307162,72884,1154500,3100,21003,13140,23122,1573,191,2212,367,19318,26,12089,578,0
17042,2146,9345,25049,33044,306344,73850,1151625,3223,23426,14345,22746,1609,197,2262,375,19340,25,12105,589,0
914480,25824,41203,92185,36010,313946,74727,1102625,2919,19351,12125,22443,1557,219,2280,350,19437,29,12172,589,0
16300,2281,8512,24654,35295,376124,78351,1053750,2922,19350,12113,21760,1491,196,2273,367,19334,25,12110,573,0
17184,2309,8935,26965,35677,295550,73510,1110875,2999,20245,12733,23541,1534,129,2129,354,19557,26,12255,576,0
16394,2182,9668,25096,40683,348017,88366,1173625,2882,19351,12105,20942,1626,196,2229,357,19334,24,12101,716,0
16558,2271,9390,27166,37258,335261,76910,1260375,2882,19344,12101,22397,1656,263,2152,362,19664,24,12347,582,0
16386,2078,7407,25125,35709,304504,73726,1144750,3049,20602,12866,23880,1617,189,2265,390,20611,38,12700,592,0
16287,2076,8969,25945,35836,298691,77767,1122750,2991,19357,12114,22150,1461,148,2205,371,19803,28,12427,571,0
16427,2186,9350,24662,36659,316738,80309,1190875,3158,22805,13901,19489,1505,198,2240,361,20270,30,12746,557,0
16494,2067,7841,26765,35152,296598,72766,1023875,2863,19324,12101,20484,1559,177,2250,370,19327,25,12097,565,0
16327,2184,10015,26485,35124,312455,72889,1174250,2989,19994,12559,22860,1583,208,2231,365,19347,25,12105,680,0
16541,2218,9212,26124,35392,354506,72870,1332500,2970,19463,12195,21184,1533,147,2226,367,19474,23,12185,547,0
16520,2286,8921,25020,32472,381566,72867,863250,3019,21233,13127,21916,1590,194,2173,373,19773,37,12410,606,0
16606,2352,9613,26317,37207,379138,81774,922750,2821,19470,12190,20870,1604,173,2354,337,19432,27,12163,621,0
17000,2301,9610,25574,34956,343286,75081,1144000,2911,19318,12088,21131,1602,199,2039,382,19342,20,12107,566,0
17346,2283,8665,23687,35076,407611,72933,871250,2888,19459,12193,21746,1609,168,2322,346,20072,26,12631,595,0
16322,2197,9339,24101,35949,366000,73809,900875,3210,21145,13025,23177,1542,176,2214,347,19327,28,12088,583,0
16513,2187,8466,24501,36430,372344,73005,1048875,2947,19476,12201,21775,1631,289,2288,353,21268,27,13189,582,0
16401,2249,9619,23676,36917,337853,77156,1270000,2906,19342,12106,20825,1520,216,2030,379,19806,25,12431,543,0
16399,2162,6901,25292,35337,314241,79730,1181125,2990,19318,12100,21833,1583,168,2131,343,19438,24,12171,498,0
16624,2300,9336,26184,35161,304198,76543,1143625,2888,19342,12122,21715,1563,205,2328,386,19363,21,12122,582,0
17133,2397,10088,27731,34696,357956,72854,887250,2996,19577,12275,22411,1570,177,2159,353,19444,27,12181,585,0
16417,2316,9406,23964,35468,395971,72826,1085125,3148,21015,12940,23119,1449,158,2238,370,19432,28,12170,557,0
16973,2265,8888,28589,35741,300506,72821,1129750,2912,19315,12096,21724,1504,161,2052,330,19302,24,12087,542,0
17339,2429,10241,31183,35359,313824,74133,1179375,2881,19335,12102,22532,1716,242,2255,367,19343,32,12114,513,0
16599,2324,8976,29511,35546,362119,74942,1019875,3323,24962,15253,22581,1574,158,2237,360,19305,31,12089,565,0
16412,2329,9626,28829,291832,5192659,5048565,5845250,2884,19457,12190,21929,1565,201,2286,362,19425,26,12172,561,0
17236,2237,9932,28025,32442,306067,72861,1150250,3057,21156,13190,22728,1603,166,2318,372,20542,26,12833,670,0
16551,2291,8040,27238,36284,340078,88729,1174625,2870,19454,12177,21840,1540,217,2133,348,19679,26,12277,599,0
16288,2165,9085,26409,35790,339846,73873,1277500,2958,19431,12177,23566,1516,181,2197,324,20590,25,12869,550,0
16291,2116,8235,20020,33302,346414,72938,797250,2921,19347,12121,22165,1785,214,2322,398,21434,34,13235,674,0
16307,2086,7926,24652,35679,317829,72819,1020750,2798,19462,12189,22702,1565,243,2074,340,19423,26,12164,522,0
17187,2237,8991,28055,35489,411815,73290,908375,2839,19297,12086,20661,1615,257,2171,352,19330,32,12099,670,0
16792,2292,9825,25425,35626,343494,73711,1045000,3081,20612,12727,22212,1642,249,2352,354,19790,27,12389,556,0
16279,2189,9658,27097,35928,332400,77282,1249500,2871,19587,12272,22925,1667,188,2170,340,19587,29,12270,546,0
17149,2202,9576,22738,35558,348656,72972,1019250,2995,19346,12110,22367,1538,205,2178,334,19321,26,12099,672,0
16300,2333,9607,27862,39209,355501,86717,1336375,2871,19453,12177,22076,1624,155,2198,332,19740,30,12398,567,0
17149,2244,9631,26584,33510,311192,73986,1169625,3328,24476,14989,24197,1518,276,2373,360,3560224,849,1753352,2996,0
17083,2339,9433,24821,36645,389748,74717,1072000,2949,19352,12108,22571,1489,202,2195,342,19725,44,12383,569,0
17331,2211,8626,22456,36822,326783,74159,842750,3025,19446,12186,21121,1749,226,2391,362,19345,27,12121,517,0
16276,2227,8887,22346,35378,299627,72872,1126375,2927,19314,12083,21824,1676,199,2306,360,19677,35,12344,650,0
16301,2147,6517,17756,38596,423073,78620,1046125,3053,19340,12101,22309,1845,377,2378,395,19314,28,12096,587,0
16620,2298,8964,25865,35369,370167,74768,904250,2820,19446,12178,20390,1557,184,2309,349,20031,39,12574,570,0
16271,2221,9390,23954,34914,393777,72979,750125,2970,19914,12506,22837,1517,218,2302,351,19470,29,12198,543,0
17068,2300,9704,26270,35516,328451,73698,1135000,3179,21708,13530,21755,1673,156,2271,379,20607,33,12707,524,0
16477,2323,9625,28012,38085,391629,79238,1024625,3151,21245,13120,22113,1532,176,2310,399,19543,24,12245,693,0
17143,2181,7810,22327,35114,314370,72908,1181625,3014,19444,12173,22190,1509,158,2144,334,19299,24,12095,547,0
16436,2217,9438,28472,36374,324617,76015,1220250,2845,19787,12422,21365,1582,169,2210,377,23220,26,14215,634,0
16456,2267,8513,24449,35088,573870,74600,1262000,2965,20463,12767,22225,1629,211,2249,340,19477,34,12209,576,0
16651,2288,10037,29320,254426,5475297,4523327,4344625,3061,20565,12852,21500,1578,185,2427,397,19475,26,12197,543,0
16274,2242,9798,26128,36125,348518,73122,1309875,3013,19422,12169,22488,1584,172,2111,342,19988,29,12553,696,0
16768,2251,6967,23852,34657,332807,72864,1200250,2976,19442,12183,22646,1700,259,2174,382,20642,25,12747,524,0
16414,2307,9688,29031,33315,322570,72753,1084000,2946,19311,12089,20740,1550,180,2264,370,19357,25,12118,518,0
17279,2344,9780,26854,261576,5004809,4784002,5085500,2961,19462,12193,22799,1573,170,2275,394,62571,33,35075,740,0
16300,2151,7697,23320,35971,314989,72919,1184125,3023,19439,12163,22854,1481,204,2192,358,19332,23,12092,636,0
16435,2362,9766,25763,34855,311775,72812,1172250,3205,21663,13607,23117,1671,184,2146,396,19358,23,12115,618,0
16986,2214,8793,26595,34504,326348,76497,1115875,2977,19341,12097,21904,1620,199,2226,368,20410,28,12739,578,0
17110,2287,10498,27602,35763,357929,73813,1147375,2971,19657,12334,22163,1671,217,2175,396,19336,24,12105,610,0
16987,2172,9453,26444,34626,346971,72922,993875,3152,21260,13134,21495,1590,181,2194,370,19374,29,12136,702,0
16634,2298,9892,28298,36120,384489,74206,984000,96384,3571293,1760942,211543,1509,154,2173,375,19540,37,12240,629,0
16408,2183,9348,25774,35478,364382,72798,1048875,3148,20570,12855,23669,1543,242,2194,391,19636,37,12328,656,0
16276,2305,8892,22674,35794,335161,73880,1096875,3190,21345,13183,22449,1578,224,2348,397,21499,31,13406,548,0
17160,2297,8813,23847,36613,320341,72833,1043500,3017,19460,12190,20994,1684,304,2232,384,19334,30,12097,572,0
17439,2428,10213,29254,32722,315971,74653,1046000,3028,19415,12159,22353,1550,185,2102,399,19644,25,12323,621,0
16807,2351,10149,30143,36132,316396,72897,1189375,2984,20818,13045,22634,1540,221,2288,353,19775,25,12410,665,0
16660,2129,9324,25766,35788,314897,76781,1152125,2865,19749,12399,21696,1588,180,2220,360,20381,37,12741,514,0
16273,2206,8533,25887,35358,305483,72886,1148250,2898,19473,12199,21964,1621,182,2286,348,19345,27,12103,595,0
22267,2712,12158,29940,35122,314283,73952,1181250,3054,19675,12295,22625,1499,187,2258,359,19468,31,12198,589,0
16622,2295,7444,29120,35199,323600,72895,1156000,3076,19345,12111,22703,1528,176,2230,363,19339,26,12100,485,0
16483,2309,9670,25428,35990,342341,76118,945125,3304,21636,13401,21404,1552,228,2250,344,19312,39,12107,571,0
16968,2279,9726,27303,34883,369966,72888,880250,67548,1338356,709064,132776,1892,296,2292,386,19889,26,12472,641,0
16521,2245,8909,21394,35193,310285,74627,1068500,3018,20477,12786,22959,1555,166,2206,364,20968,34,12951,494,0
16431,2320,7709,23071,35378,299099,73806,1110625,3171,20478,12812,22690,1521,181,2264,411,19303,22,12091,681,0
16285,2284,8584,25198,35596,306924,72847,1154000,3238,21567,13483,23084,1694,315,2336,370,19453,33,12188,560,0
16548,2321,9410,28076,277304,6177322,4896077,4751625,2939,19552,12259,22107,1544,220,2238,370,19678,36,12290,611,0
16571,2267,7871,24678,35112,321148,72905,1206875,3066,19954,12526,21090,1533,194,2369,367,19428,32,12177,619,0
17138,2165,8832,24379,34675,345308,75206,994250,3054,19911,12431,21333,1616,206,2146,366,19332,26,12101,605,0
16409,2371,8158,26290,35455,322759,72951,1213375,2724,19339,12105,21074,1541,155,2099,355,19323,33,12110,607,0
16550,2211,9059,25982,36134,351098,75271,936750,2982,19461,12193,21649,1610,204,2083,375,19375,22,12126,592,0
16292,2226,8583,14531,37204,331963,76082,1220750,3047,19779,12413,22581,1520,167,2021,349,20277,54,12740,634,0
16539,2306,9245,28406,397650,12882465,16574789,9594250,2973,19583,12274,22125,1643,215,2298,400,19474,30,12206,658,0
16648,2306,9277,24319,38899,374104,94297,1317500,3092,20535,12825,21340,1696,206,2220,428,19437,26,12173,574,0
16408,2153,8487,26769,37015,312645,78998,1175125,2993,19329,12109,22405,1610,234,2416,364,19319,26,12096,601,0
16735,2263,9504,26772,35084,382898,76892,1087750,2896,19672,12346,20424,1654,149,2222,372,20363,42,12725,545,0
16492,2259,9599,27793,37299,344785,77838,1151750,68697,1272081,667140,139704,1582,222,2273,406,22311,27,13573,528,0
16284,2163,9341,25498,35092,329630,72961,1239250,2907,19318,12088,20390,1596,190,2262,353,19642,25,12327,584,0
16419,2225,8790,26079,34449,317012,72927,1178625,3260,22289,13951,23595,1604,167,2303,350,19308,27,12095,510,0
17018,2335,9412,28140,36278,336768,75821,1265625,2865,19340,12107,21574,1537,187,2286,357,19442,29,12168,515,0
16440,2288,9000,25830,35062,300030,72949,1127875,3066,20681,12937,23824,1620,190,2315,373,19466,28,12189,657,0
16558,2304,10167,30726,34388,305116,72890,1146875,3181,21384,13160,22631,1667,199,2364,376,19335,25,12107,518,0
16659,2299,10048,29533,35743,309018,72886,1161625,2860,19304,12083,21965,1581,239,2264,373,19319,35,12099,674,0
16746,2107,9170,25935,34870,321563,72790,1102125,2975,20638,12678,21465,1641,211,2331,389,19316,35,12103,499,0
16833,2282,9397,31039,35630,374871,75210,1086000,2972,20171,12677,22950,1650,156,2063,365,19351,23,12103,601,0
16291,2262,9687,25586,35920,331210,75058,1244750,2816,19569,12274,21912,1654,226,2287,364,19346,27,12105,553,0
17921,2493,9750,23464,36216,322198,73755,1211000,3099,20962,12924,21834,1588,214,2203,353,19348,25,12119,539,0
